Year,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
1964,4872,31814,29535,3791
1965,5261,31852,24417,1996
1966,4101,28938,24225,2462
1967,4888,33970,26381,3630
1968,3504,28552,23982,2190
1969,3262,25186,25850,2056
1970,5209,28955,28282,3713
1971,6595,30830,26311,3808
1972,8260,36152,24855,2268
1973,2076,20524,24232,2465
1974,3587,24387,25713,2785
1975,4506,28995,26816,3400
1976,6748,35885,24618,2764
1977,5030,22759,35581,3533
1978,4762,27962,25353,2881
1979,7522,31526,22087,1691
1980,4321,21380,41669,5787
1981,2178,18903,32999,3795
1982,7357,31786,25455,5051
1983,10750,26841,31621,3899
1984,4362,27103,26733,2694
1985,10687,32555,27437,3629
1986,3913,19114,35182,5842
1987,1984,18892,36032,4040
1988,2540,23941,39156,6536
1989,14352,37480,32860,4581
1990,5672,20700,40491,6734
1991,4653,19854,34689,4213
1992,2742,26659,22934,2117
1993,6132,26694,18562,1555
1994,3758,18552,28433,3139
1995,3824,22441,34535,4614
1996,10560,30101,30434,3495
1997,3885,26299,26852,3366
1998,2897,13719,45971,8998
1999,1329,17158,33824,3757
2000,2428,21895,36280,6261
2001,1308,15231,32341,4596
2002,4027,21763,36945,6712
2003,2546,19135,34140,4235
2004,2547,20515,27376,2903
2005,1616,15756,37531,4369
2006,1551,13731,37411,6049
2007,3478,17854,40905,7086
2008,2214,19939,24247,3651
2009,3390,24487,25240,2846
2010,2202,16646,36240,3709
2011,2888,17129,39944,7433
2012,636,11802,53492,11254
2013,4155,24820,29572,4455
