id,name,latitude,longitude,locality,state,country,count
USC00500363  ,  ANNEX CREEK  , 58.3183 , -134.1003 ,  Juneau  ,  AK  ,  United States , 868
USC00500657  ,  BEAVER FALLS  , 55.38 , -131.4683 ,  Ketchikan  ,  AK  ,  United States , 1110
USC00501987  ,  CIRCLE HOT SPRINGS  , 65.4939 , -144.6422 ,  Central  ,  AK  ,  United States , 404
USC00502107  ,  COLLEGE OBSY  , 64.8603 , -147.8483 ,  Fairbanks  ,  AK  ,  United States , 1048
USC00502173  ,  CORDOVA NORTH  , 60.5561 , -145.7531 ,  Cordova  ,  AK  ,  United States , 650
USC00502587  ,  DUTCH HARBOR  , 53.895 , -166.5433 ,  Unalaska  ,  AK  ,  United States , 759
USC00502607  ,  EAGLE  , 64.7856 , -141.2036 ,  Eagle  ,  AK  ,  United States , 1074
USC00504812  ,  KITOI BAY  , 58.1914 , -152.3722 ,  Kodiak  ,  AK  ,  United States , 1199
USC00505519  ,  LITTLE PORT WALTER  , 56.3831 , -134.6497 ,  Port Alexander  ,  AK  ,  United States , 1184
USC00505644  ,  MANLEY HOT SPRINGS  , 64.9989 , -150.638 ,  Manley Hot Springs  ,  AK  ,  United States , 656
USC00505733  ,  MATANUSKA EXPERIMENT FARM  , 61.5664 , -149.2542 ,  Palmer  ,  AK  ,  United States , 1225
USC00505778  ,  MCKINLEY PARK  , 63.7175 , -148.9692 ,  Denali National Park and Preserve  ,  AK  ,  United States , 1050
USC00505881  ,  MINCHUMINA  , 63.9033 , -152.2817 ,  Lake Minchumina  ,  AK  ,  United States , 495
USC00506870  ,  PALMER JOB CORPS  , 61.5889 , -149.0992 ,  Palmer  ,  AK  ,  United States , 1115
USC00507557  ,  PORT ALEXANDER  , 56.2472 , -134.6447 ,  Port Alexander  ,  AK  ,  United States , 729
USC00507783  ,  PUNTILLA  , 62.0911 , -152.735 ,  Skwentna  ,  AK  ,  United States , 1114
USC00509313  ,  TOK  , 63.3336 , -143.0372 ,  Tok  ,  AK  ,  United States , 1086
USC00509641  ,  UNIVERSITY EXP STN  , 64.8569 , -147.8611 ,  Fairbanks  ,  AK  ,  United States , 1122
USW00025308  ,  ANNETTE ISLAND AP  , 55.0389 , -131.5786 ,  Metlakatla  ,  AK  ,  United States , 1312
USW00025309  ,  JUNEAU INTL AP  , 58.3567 , -134.5639 ,  Juneau  ,  AK  ,  United States , 1338
USW00025322  ,  GUSTAVUS  , 58.4111 , -135.7089 ,  Gustavus  ,  AK  ,  United States , 690
USW00025325  ,  KETCHIKAN INTL AP  , 55.3567 , -131.7117 ,  Ketchikan  ,  AK  ,  United States , 1165
USW00025329  ,  PETERSBURG 1  , 56.8056 , -132.9372 ,  Petersburg  ,  AK  ,  United States , 983
