id,name,latitude,longitude,locality,state,country,count
USC00040161  ,  ALTURAS  , 41.4931 , -120.5528 ,  Alturas  ,  CA  ,  United States , 1035
USC00040212  ,  ANGWIN PAC UNION COL  , 38.5731 , -122.4406 ,  Angwin  ,  CA  ,  United States , 1136
USC00040232  ,  ANTIOCH PUMPING PLANT #3  , 37.9833 , -121.7525 ,  Antioch  ,  CA  ,  United States , 1062
USC00040343  ,  ASH MTN  , 36.4914 , -118.8253 ,  Three Rivers  ,  CA  ,  United States , 1070
USC00040379  ,  AUBERRY 2 NW  , 37.0919 , -119.5128 ,  Auberry  ,  CA  ,  United States , 1193
USC00040693  ,  BERKELEY  , 37.8744 , -122.2606 ,  Berkeley  ,  CA  ,  United States , 1031
USC00040738  ,  BIG BAR 4 E  , 40.7406 , -123.2078 ,  Big Bar  ,  CA  ,  United States , 900
USC00040924  ,  BLYTHE  , 33.6131 , -114.5972 ,  Blythe  ,  CA  ,  United States , 987
USC00040931  ,  BOCA  , 39.3886 , -120.0936 ,  Truckee  ,  CA  ,  United States , 1327
USC00041194  ,  BURBANK VLY PUMP PLT  , 34.1867 , -118.3481 ,  Burbank  ,  CA  ,  United States , 1369
USC00041214  ,  BURNEY  , 40.8803 , -121.6547 ,  Burney  ,  CA  ,  United States , 1147
USC00041244  ,  BUTTONWILLOW  , 35.4047 , -119.4731 ,  Buttonwillow  ,  CA  ,  United States , 1334
USC00041253  ,  CACHUMA LAKE  , 34.5822 , -119.9817 ,  Santa Ynez  ,  CA  ,  United States , 1290
USC00041316  ,  CALLAHAN  , 41.3111 , -122.8045 ,  Callahan  ,  CA  ,  United States , 1332
USC00041534  ,  CARMEL VALLEY  , 36.4806 , -121.7244 ,  Carmel Valley  ,  CA  ,  United States , 692
USC00041614  ,  CEDARVILLE  , 41.5306 , -120.1803 ,  Cedarville  ,  CA  ,  United States , 1233
USC00041715  ,  CHICO UNIV FARM  , 39.6911 , -121.8211 ,  Chico  ,  CA  ,  United States , 737
USC00041758  ,  CHULA VISTA  , 32.64 , -117.0858 ,  Chula Vista  ,  CA  ,  United States , 1008
USC00041806  ,  CLEARLAKE 4 SE  , 38.9239 , -122.5672 ,  Lower Lake  ,  CA  ,  United States , 1243
USC00041864  ,  COALINGA  , 36.1356 , -120.3606 ,  Coalinga  ,  CA  ,  United States , 1129
USC00041948  ,  COLUSA 2 SSW  , 39.1875 , -122.0269 ,  Colusa  ,  CA  ,  United States , 1247
USC00042012  ,  CORCORAN IRRIG DIST  , 36.0975 , -119.5817 ,  Corcoran  ,  CA  ,  United States , 1374
USC00042081  ,  COVELO  , 39.8158 , -123.2444 ,  Covelo  ,  CA  ,  United States , 1215
USC00042147  ,  CRESCENT CITY 3 NNW  , 41.7958 , -124.2147 ,  Crescent City  ,  CA  ,  United States , 1129
USC00042214  ,  CULVER CITY  , 34.005 , -118.4139 ,  Culver City  ,  CA  ,  United States , 690
USC00042239  ,  CUYAMACA  , 32.9897 , -116.5872 ,  Julian  ,  CA  ,  United States , 1267
USC00042294  ,  DAVIS 2 WSW EXP FARM  , 38.535 , -121.7761 ,  Davis  ,  CA  ,  United States , 1186
USC00042402  ,  DE SABLA  , 39.8717 , -121.6108 ,  Magalia  ,  CA  ,  United States , 955
USC00042467  ,  DONNER MEM SP  , 39.3239 , -120.2331 ,  Truckee  ,  CA  ,  United States , 1256
USC00042506  ,  DOYLE 4 SSE  , 39.9717 , -120.0828 ,  Doyle  ,  CA  ,  United States , 1226
USC00042598  ,  EAGLE MTN  , 33.8089 , -115.4508 ,  Desert Center  ,  CA  ,  United States , 1110
USC00042709  ,  EL CAPITAN DAM  , 32.8839 , -116.8164 ,  Lakeside  ,  CA  ,  United States , 863
USC00042713  ,  EL CENTRO 2 SSW  , 32.7669 , -115.5617 ,  El Centro  ,  CA  ,  United States , 1445
USC00042805  ,  ELSINORE  , 33.6692 , -117.3319 ,  Lake Elsinore  ,  CA  ,  United States , 761
USC00043083  ,  FIVE POINTS 5 SSW  , 36.3642 , -120.1561 ,  Coalinga  ,  CA  ,  United States , 824
USC00043157  ,  FT BIDWELL  , 41.8714 , -120.1575 ,  Fort Bidwell  ,  CA  ,  United States , 1294
USC00043161  ,  FT BRAGG 5 N  , 39.5092 , -123.7567 ,  Fort Bragg  ,  CA  ,  United States , 1041
USC00043261  ,  FRIANT GOVERNMENT CAMP  , 36.9969 , -119.7072 ,  Friant  ,  CA  ,  United States , 1261
USC00043463  ,  GLENNVILLE  , 35.7269 , -118.7006 ,  Woody  ,  CA  ,  United States , 1245
USC00043551  ,  GRANT GROVE  , 36.7394 , -118.9631 ,  Hume  ,  CA  ,  United States , 1026
USC00043578  ,  GRATON  , 38.4306 , -122.8647 ,  Sebastopol  ,  CA  ,  United States , 1405
USC00043710  ,  HAIWEE  , 36.1389 , -117.9528 ,  Olancha  ,  CA  ,  United States , 1323
USC00043714  ,  HALF MOON BAY  , 37.4725 , -122.4433 ,  Half Moon Bay  ,  CA  ,  United States , 1228
USC00043747  ,  HANFORD 1 S  , 36.3158 , -119.6369 ,  Hanford  ,  CA  ,  United States , 1317
USC00043761  ,  HAPPY CAMP RS  , 41.8042 , -123.3758 ,  Happy Camp  ,  CA  ,  United States , 505
USC00043824  ,  HAT CREEK  , 40.9317 , -121.5433 ,  Cassel  ,  CA  ,  United States , 1223
USC00043855  ,  HAYFIELD PUMPING PLT  , 33.7044 , -115.6289 ,  Desert Center  ,  CA  ,  United States , 1339
USC00043914  ,  HENSHAW DAM  , 33.2372 , -116.7614 ,  Santa Ysabel  ,  CA  ,  United States , 1480
USC00044211  ,  IDYLLWILD FIRE DEPT  , 33.7572 , -116.7067 ,  Idyllwild-Pine Cove  ,  CA  ,  United States , 1009
USC00044259  ,  INDIO FIRE STN  , 33.7086 , -116.2153 ,  Indio  ,  CA  ,  United States , 887
USC00044297  ,  IRON MTN  , 34.1472 , -115.1219 ,  Twentynine Palms  ,  CA  ,  United States , 1139
USC00044374  ,  JESS VALLEY  , 41.2683 , -120.2947 ,  Likely  ,  CA  ,  United States , 1199
USC00044500  ,  KENTFIELD  , 37.9567 , -122.5447 ,  Kentfield  ,  CA  ,  United States , 1186
USC00044555  ,  KING CITY  , 36.2069 , -121.1378 ,  King City  ,  CA  ,  United States , 1097
USC00044838  ,  LAVA BEDS NM  , 41.7019 , -121.5011 ,    ,  CA  ,  United States , 913
USC00044890  ,  LEMON COVE  , 36.3817 , -119.0264 ,  Lemon Cove  ,  CA  ,  United States , 1280
USC00044997  ,  LIVERMORE  , 37.6922 , -121.7692 ,  Livermore  ,  CA  ,  United States , 1290
USC00045064  ,  LOMPOC  , 34.6539 , -120.4514 ,  Lompoc  ,  CA  ,  United States , 1432
USC00045118  ,  LOS BANOS  , 37.0564 , -120.8667 ,  Los Banos  ,  CA  ,  United States , 1255
USC00045123  ,  LOS GATOS  , 37.2319 , -121.9592 ,  Los Gatos  ,  CA  ,  United States , 1218
USC00045233  ,  MADERA  , 36.9539 , -120.0378 ,  Madera  ,  CA  ,  United States , 1024
USC00045311  ,  MANZANITA LAKE  , 40.5411 , -121.5767 ,    ,  CA  ,  United States , 997
USC00045449  ,  MC CLOUD  , 41.2514 , -122.1383 ,  McCloud  ,  CA  ,  United States , 1067
USC00045502  ,  MECCA FIRE STN  , 33.5714 , -116.0767 ,  Mecca  ,  CA  ,  United States , 1081
USC00045532  ,  MERCED  , 37.2858 , -120.5117 ,  Merced  ,  CA  ,  United States , 1142
USC00045866  ,  MORRO BAY FIRE DEPT  , 35.3672 , -120.8456 ,  Morro Bay  ,  CA  ,  United States , 1247
USC00045915  ,  MT DIABLO JUNCTION  , 37.8792 , -121.9303 ,  Walnut Creek  ,  CA  ,  United States , 1202
USC00045933  ,  MT HAMILTON  , 37.3436 , -121.6425 ,  Mount Hamilton  ,  CA  ,  United States , 926
USC00046006  ,  MT WILSON CBS  , 34.2308 , -118.0711 ,    ,  CA  ,  United States , 1115
USC00046074  ,  NAPA STATE HOSPITAL  , 38.2778 , -122.2647 ,  Napa  ,  CA  ,  United States , 1336
USC00046136  ,  NEVADA CITY  , 39.2467 , -121.0008 ,  Nevada City  ,  CA  ,  United States , 1321
USC00046175  ,  NEWPORT BEACH HARBOR  , 33.6025 , -117.8803 ,  Newport Beach  ,  CA  ,  United States , 1297
USC00046252  ,  NORTH FORK RS  , 37.2328 , -119.5097 ,  North Fork  ,  CA  ,  United States , 587
USC00046377  ,  OCEANSIDE MARINA  , 33.2097 , -117.395 ,  Oceanside  ,  CA  ,  United States , 882
USC00046399  ,  OJAI  , 34.4478 , -119.2275 ,  Ojai  ,  CA  ,  United States , 1079
USC00046506  ,  ORLAND  , 39.7458 , -122.1997 ,  Orland  ,  CA  ,  United States , 1358
USC00046508  ,  ORLEANS  , 41.3089 , -123.5317 ,  Somes Bar  ,  CA  ,  United States , 1100
USC00046624  ,  PALMDALE  , 34.5883 , -118.0939 ,  Palmdale  ,  CA  ,  United States , 1316
USC00046635  ,  PALM SPRINGS  , 33.8275 , -116.5097 ,  Palm Springs  ,  CA  ,  United States , 1047
USC00046657  ,  PALOMAR MTN OBSVTRY  , 33.3781 , -116.84 ,  Warner Springs  ,  CA  ,  United States , 984
