id,name,latitude,longitude,locality,state,country,count
USC00080211  ,  APALACHICOLA AIRPORT  , 29.7258 , -85.0206 ,  Apalachicola  ,  FL  ,  United States , 1254
USC00080369  ,  AVON PARK 2 W  , 27.5947 , -81.5267 ,  Avon Park  ,  FL  ,  United States , 1270
USC00080478  ,  BARTOW  , 27.8986 , -81.8433 ,  Bartow  ,  FL  ,  United States , 1083
USC00081163  ,  BUSHNELL 1 E  , 28.6664 , -82.0894 ,  Bushnell  ,  FL  ,  United States , 896
USC00081276  ,  CANAL POINT USDA  , 26.8639 , -80.6256 ,  Canal Point  ,  FL  ,  United States , 1344
USC00081544  ,  CHIPLEY  , 30.7836 , -85.4847 ,  Chipley  ,  FL  ,  United States , 1216
USC00081641  ,  CLERMONT 9 S  , 28.4558 , -81.7233 ,  Clermont  ,  FL  ,  United States , 1123
USC00081978  ,  CRESCENT CITY  , 29.425 , -81.5161 ,  Crescent City  ,  FL  ,  United States , 825
USC00082008  ,  CROSS CITY 1 E  , 29.6333 , -83.1053 ,  Cross City  ,  FL  ,  United States , 854
USC00082150  ,  DAYTONA BEACH  , 29.1967 , -81.0083 ,  Daytona Beach  ,  FL  ,  United States , 358
USC00082229  ,  DELAND 1 SSE  , 29.0181 , -81.3106 ,  DeLand  ,  FL  ,  United States , 1192
USC00082298  ,  DEVILS GARDEN  , 26.6033 , -81.1292 ,  Clewiston  ,  FL  ,  United States , 938
USC00082850  ,  EVERGLADES  , 25.8489 , -81.3897 ,  Ochopee  ,  FL  ,  United States , 935
USC00082915  ,  FEDERAL POINT  , 29.755 , -81.5389 ,  East Palatka  ,  FL  ,  United States , 895
USC00082944  ,  FERNANDINA BEACH  , 30.6669 , -81.4525 ,  Fernandina Beach  ,  FL  ,  United States , 1135
USC00083163  ,  FT LAUDERDALE  , 26.1019 , -80.2011 ,  Fort Lauderdale  ,  FL  ,  United States , 1479
USC00083207  ,  FT PIERCE  , 27.4419 , -80.3508 ,  Fort Pierce  ,  FL  ,  United States , 1404
USC00083470  ,  GLEN ST MARY 1 W  , 30.2717 , -82.1856 ,  Glen Saint Mary  ,  FL  ,  United States , 913
USC00083909  ,  HIALEAH  , 25.8175 , -80.2858 ,  Miami Springs  ,  FL  ,  United States , 1104
USC00083956  ,  HIGH SPRINGS  , 29.8286 , -82.5972 ,  High Springs  ,  FL  ,  United States , 962
USC00084289  ,  INVERNESS 3 SE  , 28.8028 , -82.3125 ,  Inverness  ,  FL  ,  United States , 1392
USC00084366  ,  JACKSONVILLE BEACH  , 30.2875 , -81.3928 ,  Jacksonville Beach  ,  FL  ,  United States , 1137
USC00084625  ,  KISSIMMEE 2  , 28.2764 , -81.4239 ,  Kissimmee  ,  FL  ,  United States , 1165
USC00084731  ,  LAKE CITY 2 E  , 30.1853 , -82.5942 ,  Lake City  ,  FL  ,  United States , 1430
USC00085099  ,  LIVE OAK  , 30.2889 , -82.965 ,  Live Oak  ,  FL  ,  United States , 1344
USC00085539  ,  MAYO  , 30.1064 , -83.1819 ,  Live Oak  ,  FL  ,  United States , 1355
USC00085612  ,  MELBOURNE WFO  , 28.1136 , -80.6539 ,  Melbourne  ,  FL  ,  United States , 1420
USC00085879  ,  MONTICELLO 5 SE  , 30.4922 , -83.7833 ,  Monticello  ,  FL  ,  United States , 1149
USC00085895  ,  MOORE HAVEN LOCK 1  , 26.84 , -81.0872 ,  Moore Haven  ,  FL  ,  United States , 1377
USC00085973  ,  MTN LAKE  , 27.9378 , -81.5992 ,  Lake Wales  ,  FL  ,  United States , 1282
USC00086065  ,  MYAKKA RIVER SP  , 27.2417 , -82.3161 ,  Sarasota  ,  FL  ,  United States , 1283
USC00086240  ,  NICEVILLE  , 30.5317 , -86.4928 ,  Niceville  ,  FL  ,  United States , 1066
USC00086414  ,  OCALA  , 29.1639 , -82.0778 ,  Ocala  ,  FL  ,  United States , 1405
USC00086880  ,  PARRISH  , 27.6089 , -82.3478 ,  Parrish  ,  FL  ,  United States , 1331
USC00087205  ,  PLANT CITY  , 28.0236 , -82.1422 ,  Plant City  ,  FL  ,  United States , 1351
USC00087760  ,  ROYAL PALM RS  , 25.3867 , -80.5936 ,  Homestead  ,  FL  ,  United States , 1014
USC00087851  ,  SAINT LEO  , 28.3378 , -82.26 ,  Dade City  ,  FL  ,  United States , 1484
USC00088824  ,  TARPON SPGS SEWAGE PL  , 28.1522 , -82.7539 ,  Tarpon Springs  ,  FL  ,  United States , 1357
USC00089120  ,  USHER TWR  , 29.4083 , -82.8186 ,  Chiefland  ,  FL  ,  United States , 1380
USC00089401  ,  WAUCHULA  , 27.5478 , -81.7994 ,  Wauchula  ,  FL  ,  United States , 1271
USW00003853  ,  MAYPORT PILOT STN  , 30.4 , -81.4167 ,  Jacksonville  ,  FL  ,  United States , 839
USW00003855  ,  PENSACOLA FOREST SHERMAN NAS  , 30.35 , -87.3167 ,  Pensacola  ,  FL  ,  United States , 1232
USW00012815  ,  ORLANDO INTL AP  , 28.4339 , -81.325 ,  Orlando  ,  FL  ,  United States , 1292
USW00012834  ,  DAYTONA BEACH INTL AP  , 29.1828 , -81.0483 ,  Daytona Beach  ,  FL  ,  United States , 1522
USW00012835  ,  FT MYERS PAGE FLD AP  , 26.585 , -81.8614 ,  Fort Myers  ,  FL  ,  United States , 1381
USW00012836  ,  KEY WEST INTL AP  , 24.555 , -81.7522 ,  Key West  ,  FL  ,  United States , 1573
USW00012839  ,  MIAMI INTL AP  , 25.7906 , -80.3164 ,  Miami  ,  FL  ,  United States , 1470
USW00012841  ,  ORLANDO EXECUTIVE AP  , 28.5453 , -81.3331 ,  Orlando  ,  FL  ,  United States , 689
USW00012842  ,  TAMPA INTL AP  , 27.9619 , -82.5403 ,  Tampa  ,  FL  ,  United States , 1502
USW00012843  ,  VERO BEACH INTL AP  , 27.6531 , -80.2428 ,  Vero Beach  ,  FL  ,  United States , 871
USW00012844  ,  WEST PALM BEACH INTL AP  , 26.6847 , -80.0994 ,  West Palm Beach  ,  FL  ,  United States , 1440
USW00012850  ,  KEY WEST NAS  , 24.5833 , -81.6833 ,  Key West  ,  FL  ,  United States , 1347
