id,name,latitude,longitude,locality,state,country,count
USC00090140  ,  ALBANY 3 SE  , 31.5339 , -84.1489 ,  Albany  ,  GA  ,  United States , 1396
USC00090181  ,  ALLATOONA DAM 2  , 34.165 , -84.73 ,  Cartersville  ,  GA  ,  United States , 912
USC00090406  ,  ASHBURN 3 ENE  , 31.7003 , -83.6231 ,  Ashburn  ,  GA  ,  United States , 969
USC00090969  ,  BLAIRSVILLE EXP STN  , 34.8544 , -83.9444 ,  Blairsville  ,  GA  ,  United States , 1425
USC00090979  ,  BLAKELY  , 31.2239 , -84.5553 ,  Colquitt  ,  GA  ,  United States , 833
USC00091266  ,  BROOKLET 1 W  , 32.375 , -81.673 ,  Brooklet  ,  GA  ,  United States , 1357
USC00091463  ,  CAIRO 1SW  , 30.8697 , -84.2175 ,  Cairo  ,  GA  ,  United States , 407
USC00091500  ,  CAMILLA 3SE  , 31.1903 , -84.2036 ,  Camilla  ,  GA  ,  United States , 1357
USC00091665  ,  CARTERSVILLE  , 34.2042 , -84.7925 ,  Cartersville  ,  GA  ,  United States , 1169
USC00091732  ,  CEDARTOWN  , 34.0589 , -85.2339 ,  Cedartown  ,  GA  ,  United States , 1308
USC00091982  ,  CLAYTON 1 SSW  , 34.8483 , -83.4233 ,  Tiger  ,  GA  ,  United States , 1427
USC00092153  ,  COLQUITT 2 W  , 31.1681 , -84.7664 ,  Colquitt  ,  GA  ,  United States , 884
USC00092180  ,  COMMERCE 4 NNW  , 34.2625 , -83.4894 ,  Commerce  ,  GA  ,  United States , 1223
USC00092266  ,  CORDELE  , 31.985 , -83.7747 ,  Cordele  ,  GA  ,  United States , 1207
USC00092283  ,  CORNELIA  , 34.5181 , -83.5286 ,  Cornelia  ,  GA  ,  United States , 1437
USC00092318  ,  COVINGTON  , 33.5972 , -83.8436 ,  Covington  ,  GA  ,  United States , 1245
USC00092450  ,  CUTHBERT  , 31.7672 , -84.7931 ,  Cuthbert  ,  GA  ,  United States , 1260
USC00092485  ,  DALLAS 7 NE  , 33.9881 , -84.7475 ,  Dallas  ,  GA  ,  United States , 1403
USC00092783  ,  DOUGLAS  , 31.4889 , -82.8206 ,  Douglas  ,  GA  ,  United States , 1410
USC00092966  ,  EASTMAN 1 W  , 32.2003 , -83.2058 ,  Eastman  ,  GA  ,  United States , 1415
USC00093060  ,  ELBERTON 2 N  , 34.1406 , -82.855 ,  Elberton  ,  GA  ,  United States , 1389
USC00093465  ,  FOLKSTON 9 SW  , 30.74 , -82.1278 ,  Folkston  ,  GA  ,  United States , 1223
USC00093754  ,  GLENNVILLE 3NW  , 31.9881 , -81.9522 ,  Glennville  ,  GA  ,  United States , 1063
USC00094133  ,  HARTWELL  , 34.3519 , -82.93 ,  Hartwell  ,  GA  ,  United States , 1092
USC00094170  ,  HAWKINSVILLE  , 32.2842 , -83.4681 ,  Hawkinsville  ,  GA  ,  United States , 1233
USC00094230  ,  HELEN  , 34.6997 , -83.7261 ,  Helen  ,  GA  ,  United States , 1151
USC00094429  ,  HOMERVILLE 5 N  , 31.0767 , -82.8003 ,  Homerville  ,  GA  ,  United States , 1408
USC00094648  ,  JASPER 1 NNW  , 34.4758 , -84.4461 ,  Jasper  ,  GA  ,  United States , 1289
