id,name,latitude,longitude,locality,state,country,count
USC00100010  ,  ABERDEEN EXP STN  , 42.9536 , -112.8253 ,  Aberdeen  ,  ID  ,  United States , 1268
USC00100282  ,  ANDERSON DAM  , 43.3572 , -115.4522 ,  Mountain Home  ,  ID  ,  United States , 692
USC00100375  ,  ARCO  , 43.6356 , -113.2989 ,  Arco  ,  ID  ,  United States , 964
USC00100448  ,  ARROWROCK DAM  , 43.5936 , -115.9236 ,  Boise  ,  ID  ,  United States , 1032
USC00100470  ,  ASHTON 1N  , 44.0425 , -111.2739 ,  Ashton  ,  ID  ,  United States , 1220
USC00100667  ,  BAYVIEW MODEL BASIN  , 47.9803 , -116.5594 ,  Bayview  ,  ID  ,  United States , 1226
USC00100915  ,  BLACKFOOT FIRE DEPT  , 43.1969 , -112.3531 ,  Blackfoot  ,  ID  ,  United States , 764
USC00101018  ,  BOISE LUCKY PEAK DAM  , 43.5253 , -116.0542 ,  Boise  ,  ID  ,  United States , 690
USC00101079  ,  BONNERS FERRY  , 48.6928 , -116.3103 ,  Bonners Ferry  ,  ID  ,  United States , 1063
USC00101363  ,  CABINET GORGE  , 48.0864 , -116.0572 ,  Clark Fork  ,  ID  ,  United States , 1407
USC00101514  ,  CASCADE 1 NW  , 44.5228 , -116.0481 ,  Cascade  ,  ID  ,  United States , 1271
USC00101671  ,  CHILLY BARTON FLAT  , 43.9772 , -113.8289 ,  Mackay  ,  ID  ,  United States , 1146
USC00101956  ,  COEUR D'ALENE  , 47.6822 , -116.7967 ,  Coeur d'Alene  ,  ID  ,  United States , 896
USC00102260  ,  CRATERS OF THE MOON  , 43.465 , -113.5581 ,  Moore  ,  ID  ,  United States , 943
USC00102444  ,  DEER FLAT DAM  , 43.5764 , -116.7475 ,  Caldwell  ,  ID  ,  United States , 1119
USC00102676  ,  DRIGGS  , 43.7306 , -111.1125 ,  Driggs  ,  ID  ,  United States , 1170
USC00102707  ,  DUBOIS EXP STN  , 44.2436 , -112.2006 ,  Dubois  ,  ID  ,  United States , 1188
USC00102875  ,  ELK CITY 1NE  , 45.8356 , -115.4611 ,  Elk City  ,  ID  ,  United States , 1091
USC00102942  ,  EMMETT 2 E  , 43.8544 , -116.4664 ,  Emmett  ,  ID  ,  United States , 1124
USC00103143  ,  FENN RS  , 46.0931 , -115.5356 ,  Kooskia  ,  ID  ,  United States , 1108
USC00103297  ,  FT HALL 1 NNE  , 43.0428 , -112.4133 ,  Pocatello  ,  ID  ,  United States , 1185
USC00103448  ,  GARDEN VALLEY  , 44.1011 , -115.9694 ,  Garden Valley  ,  ID  ,  United States , 1154
USC00103732  ,  GRACE  , 42.5872 , -111.7275 ,  Grace  ,  ID  ,  United States , 1132
USC00103771  ,  GRANGEVILLE  , 45.9414 , -116.1175 ,  Grangeville  ,  ID  ,  United States , 1261
USC00103882  ,  GROUSE  , 43.7186 , -113.5472 ,  Lost River  ,  ID  ,  United States , 1120
USC00103964  ,  HAMER 4 NW  , 43.9664 , -112.2642 ,  Hamer  ,  ID  ,  United States , 898
USC00104442  ,  IDAHO CITY  , 43.8383 , -115.8319 ,  Idaho City  ,  ID  ,  United States , 1044
USC00104455  ,  IDAHO FALLS - KIFI  , 43.5139 , -112.0125 ,  Idaho Falls  ,  ID  ,  United States , 1148
USC00104670  ,  JEROME  , 42.7325 , -114.5192 ,  Jerome  ,  ID  ,  United States , 1289
USC00105275  ,  LIFTON PUMPING STN  , 42.1231 , -111.3133 ,  Saint Charles  ,  ID  ,  United States , 1319
