id,name,latitude,longitude,locality,state,country,count
USC00140010  ,  ABILENE  , 38.9267 , -97.2128 ,  Abilene  ,  KS  ,  United States , 1318
USC00140439  ,  ATWOOD  , 39.7997 , -101.0422 ,  Atwood  ,  KS  ,  United States , 1199
USC00140865  ,  BISON 3NW  , 38.5636 , -99.235 ,  Bison  ,  KS  ,  United States , 1220
USC00141179  ,  BURR OAK 1N  , 39.8775 , -98.3036 ,  Burr Oak  ,  KS  ,  United States , 204
USC00141383  ,  CEDAR BLUFF DAM  , 38.7978 , -99.7231 ,  Ellis  ,  KS  ,  United States , 876
USC00141522  ,  CIMARRON  , 37.8131 , -100.3456 ,  Cimarron  ,  KS  ,  United States , 1327
USC00141699  ,  COLBY 1SW  , 39.3925 , -101.0689 ,  Colby  ,  KS  ,  United States , 1290
USC00141858  ,  COTTONWOOD FALLS  , 38.3703 , -96.5483 ,  Cottonwood Falls  ,  KS  ,  United States , 1311
USC00142401  ,  EL DORADO  , 37.8183 , -96.8444 ,  El Dorado  ,  KS  ,  United States , 1387
USC00142432  ,  ELKHART  , 37.0058 , -101.8867 ,  Elkhart  ,  KS  ,  United States , 1248
USC00142602  ,  ESKRIDGE  , 38.8592 , -96.1058 ,  Eskridge  ,  KS  ,  United States , 989
USC00142622  ,  EUREKA 1E  , 37.8253 , -96.2644 ,  Eureka  ,  KS  ,  United States , 1313
USC00142835  ,  FT SCOTT  , 37.8428 , -94.7086 ,  Fort Scott  ,  KS  ,  United States , 1247
USC00142980  ,  GARDEN CITY EXP STA  , 37.9931 , -100.8122 ,  Garden City  ,  KS  ,  United States , 1326
USC00143008  ,  GARNETT 1 E  , 38.28 , -95.2178 ,  Garnett  ,  KS  ,  United States , 1279
USC00143218  ,  GREAT BEND  , 38.3758 , -98.7803 ,  Great Bend  ,  KS  ,  United States , 1167
USC00143527  ,  HAYS 1 S  , 38.8586 , -99.3358 ,  Hays  ,  KS  ,  United States , 1345
USC00143594  ,  HERINGTON  , 38.6656 , -96.9494 ,  Herington  ,  KS  ,  United States , 1336
