id,name,latitude,longitude,locality,state,country,count
USC00200032  ,  ADRIAN 2 NNE  , 41.9164 , -84.0158 ,  Adrian  ,  MI  ,  United States , 1212
USC00200089  ,  ALBERTA FORD FOR CTR  , 46.6447 , -88.4811 ,  L'Anse  ,  MI  ,  United States , 954
USC00200230  ,  ANN ARBOR U OF MICH  , 42.2947 , -83.7108 ,  Ann Arbor  ,  MI  ,  United States , 1241
USC00200417  ,  BAD AXE  , 43.8081 , -82.9939 ,  Bad Axe  ,  MI  ,  United States , 1236
USC00200552  ,  BATTLE CREEK 5NW  , 42.3667 , -85.2667 ,  Battle Creek  ,  MI  ,  United States , 1237
USC00200718  ,  BERGLAND DAM  , 46.5869 , -89.5475 ,  Bergland  ,  MI  ,  United States , 1056
USC00200779  ,  BIG RAPIDS WTR WKS  , 43.7072 , -85.4822 ,  Big Rapids  ,  MI  ,  United States , 1234
USC00200864  ,  BLOOMINGDALE  , 42.3842 , -85.9625 ,  Bloomingdale  ,  MI  ,  United States , 1154
USC00201299  ,  CARO WWTP  , 43.4839 , -83.3919 ,  Caro  ,  MI  ,  United States , 1229
USC00201492  ,  CHEBOYGAN  , 45.6528 , -84.4725 ,  Cheboygan  ,  MI  ,  United States , 1207
USC00201675  ,  COLDWATER ST SCHOOL  , 41.9622 , -84.9925 ,  Coldwater  ,  MI  ,  United States , 1213
USC00202015  ,  DEARBORN  , 42.3194 , -83.2378 ,  Dearborn  ,  MI  ,  United States , 1158
USC00202094  ,  DETOUR VILLAGE  , 45.9983 , -83.9014 ,  De Tour Village  ,  MI  ,  United States , 1255
USC00202250  ,  DOWAGIAC 1 W  , 41.9856 , -86.1319 ,  Dowagiac  ,  MI  ,  United States , 1183
USC00202381  ,  EAST JORDAN  , 45.1519 , -85.1322 ,  East Jordan  ,  MI  ,  United States , 1297
USC00202423  ,  EAST TAWAS  , 44.2839 , -83.5036 ,  East Tawas  ,  MI  ,  United States , 1206
USC00202445  ,  EAU CLAIRE 4 NE  , 42.0147 , -86.2408 ,  Eau Claire  ,  MI  ,  United States , 1197
USC00202984  ,  FRANKFORT 2NE  , 44.6481 , -86.21 ,  Frankfort  ,  MI  ,  United States , 1105
USC00203477  ,  GROSSE POINTE FARMS  , 42.4078 , -82.8892 ,  Grosse Pointe Farms  ,  MI  ,  United States , 1086
USC00203504  ,  GULL LK BIOLOGICAL STN  , 42.3833 , -85.3828 ,  Augusta  ,  MI  ,  United States , 1136
