id,name,latitude,longitude,locality,state,country,count
USC00230143  ,  AMITY 4 NE  , 39.8914 , -94.36 ,  Maysville  ,  MO  ,  United States , 1146
USC00230204  ,  APPLETON CITY  , 38.1869 , -94.0281 ,  Appleton City  ,  MO  ,  United States , 1264
USC00230789  ,  BOLIVAR 1 NE  , 37.6167 , -93.3911 ,  Bolivar  ,  MO  ,  United States , 1241
USC00231037  ,  BRUNSWICK  , 39.4247 , -93.1331 ,  Brunswick  ,  MO  ,  United States , 1117
USC00231087  ,  BUFFALO 2N  , 37.6667 , -93.1067 ,  Buffalo  ,  MO  ,  United States , 1101
USC00231145  ,  BUTLER 4W  , 38.2611 , -94.405 ,  Butler  ,  MO  ,  United States , 1229
USC00231189  ,  CALIFORNIA  , 38.6278 , -92.5545 ,  California  ,  MO  ,  United States , 984
USC00231275  ,  CANTON L&D 20  , 40.1433 , -91.5158 ,  Canton  ,  MO  ,  United States , 1191
USC00231340  ,  CARROLLTON  , 39.3594 , -93.4886 ,  Carrollton  ,  MO  ,  United States , 1147
USC00231674  ,  CLEARWATER DAM  , 37.1319 , -90.7756 ,  Piedmont  ,  MO  ,  United States , 983
USC00231822  ,  CONCEPTION  , 40.2394 , -94.6833 ,  Conception  ,  MO  ,  United States , 1200
USC00232289  ,  DONIPHAN  , 36.6206 , -90.8125 ,  Doniphan  ,  MO  ,  United States , 1380
USC00232503  ,  ELDON  , 38.3486 , -92.5808 ,  Eldon  ,  MO  ,  United States , 972
USC00232591  ,  ELSBERRY 1 S  , 39.1506 , -90.7847 ,  Elsberry  ,  MO  ,  United States , 1271
USC00233568  ,  HAMILTON 2W  , 39.7425 , -94.0347 ,  Hamilton  ,  MO  ,  United States , 1262
USC00233601  ,  HANNIBAL WTR WKS  , 39.7233 , -91.3719 ,  Hannibal  ,  MO  ,  United States , 1206
USC00234271  ,  JEFFERSON CITY WTP  , 38.5853 , -92.1825 ,  Jefferson City  ,  MO  ,  United States , 1072
USC00234417  ,  KENNETT RADIO KBOA  , 36.2253 , -90.075 ,  Kennett  ,  MO  ,  United States , 1042
USC00234544  ,  KIRKSVILLE  , 40.2058 , -92.5747 ,  Kirksville  ,  MO  ,  United States , 1108
USC00234705  ,  LAMAR 2W  , 37.4933 , -94.3147 ,  Lamar  ,  MO  ,  United States , 1315
