id,name,latitude,longitude,locality,state,country,count
USC00240088  ,  ALBION 1 N  , 45.2089 , -104.2647 ,    ,  MT  ,  United States , 662
USC00240364  ,  AUGUSTA  , 47.4931 , -112.3964 ,  Augusta  ,  MT  ,  United States , 927
USC00240375  ,  AUSTIN 1 W  , 46.6456 , -112.2656 ,  Helena  ,  MT  ,  United States , 1088
USC00240755  ,  BIGFORK 13 S  , 47.875 , -114.0331 ,  Polson  ,  MT  ,  United States , 904
USC00240780  ,  BIG TIMBER  , 45.8328 , -109.9503 ,  Big Timber  ,  MT  ,  United States , 1083
USC00240802  ,  BILLINGS WTP  , 45.7717 , -108.4811 ,  Billings  ,  MT  ,  United States , 1119
USC00241044  ,  BOZEMAN MONTANA ST U  , 45.6622 , -111.0453 ,  Bozeman  ,  MT  ,  United States , 1195
USC00241084  ,  BRANDENBERG  , 45.8161 , -106.2314 ,  Forsyth  ,  MT  ,  United States , 1202
USC00241088  ,  BREDETTE  , 48.5156 , -105.2992 ,  Poplar  ,  MT  ,  United States , 1037
USC00241102  ,  BRIDGER 2 N  , 45.3261 , -108.9092 ,  Bridger  ,  MT  ,  United States , 1123
USC00241127  ,  BROADUS  , 45.4442 , -105.4072 ,  Broadus  ,  MT  ,  United States , 1183
USC00241169  ,  BROCKWAY 3 WSW  , 47.2875 , -105.83 ,  Brockway  ,  MT  ,  United States , 848
USC00241297  ,  BUSBY  , 45.5397 , -106.9597 ,  Busby  ,  MT  ,  United States , 1166
USC00241552  ,  CASCADE 5 S  , 47.2194 , -111.71 ,  Cascade  ,  MT  ,  United States , 1203
USC00241557  ,  CASCADE 20 SSE  , 46.9956 , -111.5772 ,  Cascade  ,  MT  ,  United States , 1362
USC00241722  ,  CHINOOK  , 48.5883 , -109.2256 ,  Chinook  ,  MT  ,  United States , 994
USC00241737  ,  CHOTEAU  , 47.8206 , -112.1919 ,  Choteau  ,  MT  ,  United States , 1200
USC00241905  ,  COLSTRIP  , 45.8944 , -106.6336 ,  Colstrip  ,  MT  ,  United States , 1074
USC00241974  ,  CONRAD  , 48.1794 , -111.9614 ,  Conrad  ,  MT  ,  United States , 1169
