id,name,latitude,longitude,locality,state,country,count
USC00280907  ,  BOONTON 1 SE  , 40.8922 , -74.4033 ,  East Hanover  ,  NJ  ,  United States , 975
USC00281335  ,  CANOE BROOK  , 40.7436 , -74.3539 ,  Millburn  ,  NJ  ,  United States , 1285
USC00281351  ,  CAPE MAY 2 NW  , 38.9536 , -74.9358 ,  Cape May  ,  NJ  ,  United States , 1244
USC00281582  ,  CHARLOTTEBURG RESERVE  , 41.0347 , -74.4233 ,  West Milford  ,  NJ  ,  United States , 1198
USC00283029  ,  FLEMINGTON 5 NNW  , 40.5631 , -74.8831 ,  Flemington  ,  NJ  ,  United States , 1151
USC00283181  ,  FREEHOLD-MARLBORO  , 40.3142 , -74.2511 ,  Marlboro Township  ,  NJ  ,  United States , 825
USC00283662  ,  HAMMONTON 1 NE  , 39.6442 , -74.8072 ,  Hammonton  ,  NJ  ,  United States , 800
USC00283951  ,  HIGHTSTOWN 2 W  , 40.265 , -74.5642 ,  East Windsor  ,  NJ  ,  United States , 1282
USC00284229  ,  INDIAN MILLS 2 W  , 39.8144 , -74.7883 ,  Shamong  ,  NJ  ,  United States , 1333
USC00284987  ,  LONG BRANCH OAKHURST  , 40.2797 , -74.0047 ,  Long Branch  ,  NJ  ,  United States , 976
USC00288644  ,  SUSSEX 2 NW  , 41.2214 , -74.66 ,  Wantage  ,  NJ  ,  United States , 1178
USW00013724  ,  ATLANTIC CITY  , 39.3792 , -74.4242 ,  Atlantic City  ,  NJ  ,  United States , 1216
USW00013735  ,  MILLVILLE MUNI AP  , 39.3667 , -75.0667 ,  Millville  ,  NJ  ,  United States , 1296
USW00014734  ,  NEWARK INTL AP  , 40.6825 , -74.1694 ,  Elizabeth  ,  NJ  ,  United States , 1242
USW00093730  ,  ATLANTIC CITY INTL AP  , 39.4494 , -74.5672 ,  Egg Harbor City  ,  NJ  ,  United States , 1323
