id,name,latitude,longitude,locality,state,country,count
USC00330563  ,  BELLEFONTAINE  , 40.3533 , -83.7747 ,  Bellefontaine  ,  OH  ,  United States , 1230
USC00330862  ,  BOWLING GREEN WWTP  , 41.3831 , -83.6111 ,  Bowling Green  ,  OH  ,  United States , 1224
USC00331072  ,  BUCYRUS  , 40.8128 , -83.6111 ,  Dunkirk  ,  OH  ,  United States , 1220
USC00331390  ,  CELINA 3 NE  , 40.5694 , -84.5364 ,  Celina  ,  OH  ,  United States , 1265
USC00331404  ,  CENTERBURG 2 SE  , 40.2914 , -82.6547 ,  Centerburg  ,  OH  ,  United States , 988
USC00331458  ,  CHARDON  , 41.5833 , -81.1833 ,  Chardon  ,  OH  ,  United States , 1366
USC00331541  ,  CHIPPEWA LAKE  , 41.0517 , -81.9361 ,  Medina  ,  OH  ,  United States , 1204
USC00331783  ,  COLUMBUS-VALLEY CROSSING  , 39.9047 , -82.92 ,  Columbus  ,  OH  ,  United States , 1105
USC00331905  ,  COSHOCTON AG RSCH STN  , 40.3708 , -81.7908 ,  Fresno  ,  OH  ,  United States , 1192
USC00332067  ,  DAYTON-MCD  , 39.7633 , -84.1911 ,  Dayton  ,  OH  ,  United States , 1210
USC00332098  ,  DEFIANCE  , 41.2783 , -84.3847 ,  Defiance  ,  OH  ,  United States , 1192
USC00332251  ,  DORSET  , 41.6833 , -80.6667 ,  Dorset  ,  OH  ,  United States , 1256
USC00332485  ,  EATON  , 39.7347 , -84.6336 ,  Eaton  ,  OH  ,  United States , 1247
USC00332599  ,  ELYRIA 3 E  , 41.3814 , -82.0558 ,  North Ridgeville  ,  OH  ,  United States , 1345
USC00332791  ,  FINDLAY WPCC  , 41.0461 , -83.6622 ,  Findlay  ,  OH  ,  United States , 1269
USC00332974  ,  FREMONT  , 41.3331 , -83.1189 ,  Fremont  ,  OH  ,  United States , 1100
USC00333029  ,  GALLIPOLIS  , 38.8203 , -82.1822 ,  Gallipolis  ,  OH  ,  United States , 1149
USC00333375  ,  GREENVILLE WTP  , 40.1 , -84.65 ,  Greenville  ,  OH  ,  United States , 1250
USC00333780  ,  HIRAM  , 41.3072 , -81.0133 ,  Garrettsville  ,  OH  ,  United States , 1146
USC00334004  ,  JACKSON 3 NW  , 39.08 , -82.7078 ,  Jackson  ,  OH  ,  United States , 1120
USC00334551  ,  LIMA WWTP  , 40.7247 , -84.1294 ,  Lima  ,  OH  ,  United States , 1168
USC00334681  ,  LONDON STATE FISH HATCHERY  , 39.8972 , -83.5097 ,  London  ,  OH  ,  United States , 1015
USC00334874  ,  MANSFIELD 5 W  , 40.7667 , -82.6167 ,  Ontario  ,  OH  ,  United States , 1063
USC00334942  ,  MARION 2 N  , 40.6167 , -83.1333 ,  Marion  ,  OH  ,  United States , 1280
USC00334979  ,  MARYSVILLE  , 40.2411 , -83.3669 ,  Marysville  ,  OH  ,  United States , 1261
USC00335297  ,  MILLERSBURG  , 40.5375 , -81.9197 ,  Millersburg  ,  OH  ,  United States , 1099
USC00335315  ,  MILLPORT 4 NE  , 40.7692 , -80.8561 ,  Lisbon  ,  OH  ,  United States , 1300
USC00335747  ,  NEWARK WATER WKS  , 40.0875 , -82.4128 ,  Newark  ,  OH  ,  United States , 1366
USC00335857  ,  NEW LEXINGTON 2 NW  , 39.7333 , -82.2156 ,  New Lexington  ,  OH  ,  United States , 1227
USC00336118  ,  NORWALK WWTP  , 41.2667 , -82.6167 ,  Norwalk  ,  OH  ,  United States , 1170
