id,name,latitude,longitude,locality,state,country,count
USC00350036  ,  ADEL  , 42.1761 , -119.8961 ,  Adel  ,  OR  ,  United States , 798
USC00350197  ,  ANTELOPE 6 SSW  , 44.8197 , -120.7533 ,  Ashwood  ,  OR  ,  United States , 959
USC00350471  ,  BANDON 2 NNE  , 43.1497 , -124.4019 ,  Bandon  ,  OR  ,  United States , 1249
USC00350694  ,  BEND  , 44.0569 , -121.285 ,  Bend  ,  OR  ,  United States , 1313
USC00350723  ,  BEULAH  , 43.9092 , -118.1522 ,  Juntura  ,  OR  ,  United States , 851
USC00350897  ,  BONNEVILLE DAM  , 45.6361 , -121.9519 ,  Cascade Locks  ,  OR  ,  United States , 1192
USC00351546  ,  CHEMULT  , 43.2292 , -121.7894 ,  Chemult  ,  OR  ,  United States , 989
USC00351643  ,  CLATSKANIE  , 46.1081 , -123.2058 ,  Clatskanie  ,  OR  ,  United States , 1373
USC00351682  ,  CLOVERDALE  , 45.205 , -123.8925 ,  Cloverdale  ,  OR  ,  United States , 1279
USC00351765  ,  CONDON  , 45.2325 , -120.1817 ,  Condon  ,  OR  ,  United States , 1196
USC00351862  ,  CORVALLIS STATE UNIV  , 44.6342 , -123.19 ,  Corvallis  ,  OR  ,  United States , 1306
USC00351897  ,  COTTAGE GROVE 2E  , 43.7917 , -123.0275 ,  Cottage Grove  ,  OR  ,  United States , 1306
USC00351902  ,  COTTAGE GROVE DAM  , 43.7178 , -123.0578 ,  Cottage Grove  ,  OR  ,  United States , 1005
USC00351926  ,  COVE 1 E  , 45.2964 , -117.7903 ,  Cove  ,  OR  ,  United States , 589
USC00351946  ,  CRATER LAKE NPS HQ  , 42.8967 , -122.1328 ,  CRATER LAKE  ,  OR  ,  United States , 1242
USC00352112  ,  DALLAS 2 NE  , 44.9464 , -123.2911 ,  Dallas  ,  OR  ,  United States , 1251
USC00352135  ,  DANNER  , 42.9447 , -117.3389 ,  Jordan Valley  ,  OR  ,  United States , 694
USC00352292  ,  DETROIT DAM  , 44.7242 , -122.2547 ,  Gates  ,  OR  ,  United States , 1278
USC00352374  ,  DORENA  , 43.7822 , -122.9631 ,  Cottage Grove  ,  OR  ,  United States , 1325
USC00352406  ,  DRAIN  , 43.6656 , -123.3275 ,  Drain  ,  OR  ,  United States , 1275
USC00352440  ,  DUFUR  , 45.4539 , -121.1303 ,  The Dalles  ,  OR  ,  United States , 1290
USC00352693  ,  ESTACADA 2 SE  , 45.2689 , -122.3186 ,  Estacada  ,  OR  ,  United States , 1227
USC00352800  ,  FALLS CITY 2 SSW  , 44.8358 , -123.4525 ,  Dallas  ,  OR  ,  United States , 271
USC00352867  ,  FERN RIDGE-VENETA  , 44.0494 , -123.3703 ,  Veneta  ,  OR  ,  United States , 752
USC00352997  ,  FOREST GROVE  , 45.5247 , -123.1025 ,  Forest Grove  ,  OR  ,  United States , 1288
USC00353038  ,  FOSSIL  , 44.9983 , -120.2175 ,  Fossil  ,  OR  ,  United States , 1125
USC00353356  ,  GOLD BEACH RS  , 42.4036 , -124.4242 ,  Gold Beach  ,  OR  ,  United States , 950
USC00353402  ,  GOVERNMENT CAMP  , 45.3014 , -121.7417 ,  Government Camp  ,  OR  ,  United States , 1295
USC00353445  ,  GRANTS PASS  , 42.4244 , -123.3236 ,  Grants Pass  ,  OR  ,  United States , 1374
USC00353542  ,  GRIZZLY  , 44.5175 , -120.9389 ,  Madras  ,  OR  ,  United States , 708
USC00353604  ,  HALFWAY  , 44.8772 , -117.1094 ,  Halfway  ,  OR  ,  United States , 1373
USC00353692  ,  HART MTN REFUGE  , 42.5483 , -119.6556 ,    ,  OR  ,  United States , 782
USC00353770  ,  HEADWORKS PORTLAND WTR  , 45.4486 , -122.1547 ,  Sandy  ,  OR  ,  United States , 1218
USC00353827  ,  HEPPNER  , 45.3653 , -119.5639 ,  Heppner  ,  OR  ,  United States , 1226
USC00353847  ,  HERMISTON 1 SE  , 45.8289 , -119.2636 ,  Hermiston  ,  OR  ,  United States , 999
USC00354003  ,  HOOD RIVER EXP STN  , 45.6847 , -121.5175 ,  Hood River  ,  OR  ,  United States , 1319
USC00354098  ,  HUNTINGTON  , 44.3564 , -117.255 ,  Huntington  ,  OR  ,  United States , 1160
USC00354291  ,  JOHN DAY  , 44.4233 , -118.9594 ,  John Day  ,  OR  ,  United States , 1227
USC00354811  ,  LEABURG 1 SW  , 44.1014 , -122.6886 ,  Springfield  ,  OR  ,  United States , 1362
USC00355050  ,  LOOKOUT POINT DAM  , 43.9144 , -122.76 ,  Lowell  ,  OR  ,  United States , 1180
USC00355139  ,  MADRAS  , 44.6167 , -121.0011 ,  Madras  ,  OR  ,  United States , 1217
USC00355142  ,  MADRAS 2 N  , 44.6633 , -121.1461 ,  Madras  ,  OR  ,  United States , 823
USC00355160  ,  MALHEUR BRANCH EXP STN  , 43.9794 , -117.0247 ,  Ontario  ,  OR  ,  United States , 1218
USC00355162  ,  MALHEUR REFUGE HQ  , 43.265 , -118.8447 ,  Princeton  ,  OR  ,  United States , 753
