id,name,latitude,longitude,locality,state,country,count
USC00390043  ,  ACADEMY 2NE  , 43.4892 , -99.0631 ,  Platte  ,  SD  ,  United States , 1281
USC00390128  ,  ALEXANDRIA  , 43.6514 , -97.7847 ,  Alexandria  ,  SD  ,  United States , 1234
USC00390236  ,  ARDMORE 1 NW  , 43.03 , -103.66 ,  Edgemont  ,  SD  ,  United States , 1165
USC00390559  ,  BELLE FOURCHE  , 44.6714 , -103.8511 ,  Belle Fourche  ,  SD  ,  United States , 1184
USC00390701  ,  BISON  , 45.5286 , -102.465 ,  Bison  ,  SD  ,  United States , 1071
USC00391032  ,  BRIDGEWATER  , 43.5525 , -97.5017 ,  Bridgewater  ,  SD  ,  United States , 1089
USC00391049  ,  BRITTON  , 45.7908 , -97.75 ,  Britton  ,  SD  ,  United States , 1212
USC00391076  ,  BROOKINGS 2 NE  , 44.3253 , -96.7686 ,  Brookings  ,  SD  ,  United States , 1248
USC00391294  ,  CAMP CROOK  , 45.5489 , -103.9744 ,  Camp Crook  ,  SD  ,  United States , 1224
USC00391392  ,  CANTON  , 43.3056 , -96.5917 ,  Canton  ,  SD  ,  United States , 1187
USC00391579  ,  CENTERVILLE 6 SE  , 43.0431 , -96.9033 ,  Beresford  ,  SD  ,  United States , 1302
USC00391873  ,  COLUMBIA 8 N  , 45.725 , -98.3 ,  Columbia  ,  SD  ,  United States , 1199
USC00391972  ,  COTTONWOOD 2 E  , 43.9611 , -101.8606 ,  Quinn  ,  SD  ,  United States , 1152
USC00392302  ,  DE SMET  , 44.3867 , -97.5606 ,  De Smet  ,  SD  ,  United States , 1138
USC00392429  ,  DUPREE  , 45.0469 , -101.605 ,  Dupree  ,  SD  ,  United States , 1250
USC00392927  ,  FAULKTON 1 NW  , 45.0364 , -99.1342 ,  Faulkton  ,  SD  ,  United States , 1101
USC00392984  ,  FLANDREAU  , 44.0517 , -96.5928 ,  Flandreau  ,  SD  ,  United States , 1274
USC00393029  ,  FORESTBURG 4 NNE  , 44.0686 , -98.0833 ,  Artesian  ,  SD  ,  United States , 1257
USC00393069  ,  FT MEADE  , 44.41 , -103.4775 ,    ,  SD  ,  United States , 1260
USC00393294  ,  GETTYSBURG  , 45.0194 , -99.9403 ,  Gettysburg  ,  SD  ,  United States , 1168
USC00393316  ,  GLAD VALLEY 2 W  , 45.4178 , -101.81 ,  Meadow  ,  SD  ,  United States , 771
USC00393452  ,  GREGORY  , 43.2356 , -99.4339 ,  Gregory  ,  SD  ,  United States , 1267
USC00393832  ,  HIGHMORE 1 W  , 44.5222 , -99.455 ,  Highmore  ,  SD  ,  United States , 1185
USC00394037  ,  HOWARD  , 44.0122 , -97.5242 ,  Howard  ,  SD  ,  United States , 1340
USC00394184  ,  INTERIOR 3 NE  , 43.7483 , -101.9414 ,  Interior  ,  SD  ,  United States , 1049
USC00394206  ,  IPSWICH  , 45.4478 , -99.0383 ,  Ipswich  ,  SD  ,  United States , 1278
USC00394516  ,  KENNEBEC  , 43.9072 , -99.8628 ,  Kennebec  ,  SD  ,  United States , 1256
USC00394834  ,  LEAD  , 44.3533 , -103.7714 ,  Lead  ,  SD  ,  United States , 1161
USC00394864  ,  LEMMON  , 45.9397 , -102.1575 ,  Lemmon  ,  SD  ,  United States , 1223
USC00395048  ,  LUDLOW 3 SSE  , 45.785 , -103.3719 ,  Ludlow  ,  SD  ,  United States , 1119
USC00395281  ,  MARTIN  , 43.1803 , -101.7386 ,  Martin  ,  SD  ,  United States , 915
USC00395381  ,  MC INTOSH 6 SE  , 45.8383 , -101.2767 ,  Mc Intosh  ,  SD  ,  United States , 1197
USC00395456  ,  MELLETTE 4 W  , 45.155 , -98.5825 ,  Northville  ,  SD  ,  United States , 1179
USC00395481  ,  MENNO  , 43.2358 , -97.5714 ,  Menno  ,  SD  ,  United States , 1276
USC00395544  ,  MILESVILLE 5 NE  , 44.5208 , -101.6192 ,  Milesville  ,  SD  ,  United States , 1275
USC00395561  ,  MILLER  , 44.5178 , -98.9814 ,  Miller  ,  SD  ,  United States , 1233
USC00395638  ,  MISSION 14 S  , 43.1114 , -100.6083 ,  Valentine  ,  SD  ,  United States , 1134
USC00395691  ,  MOBRIDGE 2NNW  , 45.5656 , -100.4489 ,  Mobridge  ,  SD  ,  United States , 1077
