id,name,latitude,longitude,locality,state,country,count
USC00410235  ,  ANAHUAC  , 29.7878 , -94.6342 ,  Anahuac  ,  TX  ,  United States , 1252
USC00410257  ,  ANGLETON 2 W  , 29.1572 , -95.4592 ,  Angleton  ,  TX  ,  United States , 1223
USC00410268  ,  ANSON  , 32.7667 , -99.89 ,  Anson  ,  TX  ,  United States , 1062
USC00410493  ,  BALLINGER 2 NW  , 31.7414 , -99.9764 ,  Ballinger  ,  TX  ,  United States , 1339
USC00410498  ,  BALMORHEA  , 30.9844 , -103.7403 ,  Balmorhea  ,  TX  ,  United States , 1129
USC00410569  ,  BAY CITY WTR WKS  , 28.9797 , -95.975 ,  Bay City  ,  TX  ,  United States , 1236
USC00410586  ,  BAYTOWN  , 29.9142 , -94.9908 ,  Crosby  ,  TX  ,  United States , 1150
USC00410611  ,  BEAUMONT CITY  , 30.0969 , -94.0997 ,  Beaumont  ,  TX  ,  United States , 437
USC00410613  ,  BEAUMONT RSCH CTR  , 30.0689 , -94.2928 ,  Beaumont  ,  TX  ,  United States , 1051
USC00410639  ,  BEEVILLE 5 NE  , 28.4575 , -97.7061 ,  Beeville  ,  TX  ,  United States , 1372
USC00410691  ,  BENBROOK DAM  , 32.6475 , -97.4439 ,  Fort Worth  ,  TX  ,  United States , 1164
USC00410832  ,  BLANCO  , 30.1061 , -98.4286 ,  Blanco  ,  TX  ,  United States , 1403
USC00410902  ,  BOERNE  , 29.7986 , -98.7353 ,  Boerne  ,  TX  ,  United States , 1462
USC00410923  ,  BONHAM 3NNE  , 33.6403 , -96.1661 ,  Bonham  ,  TX  ,  United States , 1328
USC00410958  ,  BORGER  , 35.6364 , -101.4542 ,  Borger  ,  TX  ,  United States , 1244
USC00410984  ,  BOWIE  , 33.5511 , -97.8472 ,  Bowie  ,  TX  ,  United States , 1253
USC00411007  ,  BRACKETTVILLE  , 29.3167 , -100.4144 ,  Brackettville  ,  TX  ,  United States , 1115
USC00411017  ,  BRADY  , 31.1444 , -99.3492 ,  Brady  ,  TX  ,  United States , 1340
USC00411042  ,  BRECKENRIDGE  , 32.75 , -98.9017 ,  Breckenridge  ,  TX  ,  United States , 1216
USC00411048  ,  BRENHAM  , 30.1592 , -96.3972 ,  Brenham  ,  TX  ,  United States , 1441
USC00411063  ,  BRIDGEPORT  , 33.2064 , -97.7761 ,  Bridgeport  ,  TX  ,  United States , 1262
USC00411128  ,  BROWNFIELD #2  , 33.1908 , -102.2681 ,  Brownfield  ,  TX  ,  United States , 1352
USC00411138  ,  BROWNWOOD 2ENE  , 31.7383 , -98.9456 ,  Early  ,  TX  ,  United States , 1195
USC00411250  ,  BURNET  , 30.7586 , -98.2339 ,  Burnet  ,  TX  ,  United States , 1292
USC00411486  ,  CARRIZO SPRINGS 3S  , 28.4894 , -99.8733 ,  Carrizo Springs  ,  TX  ,  United States , 1171
