id,name,latitude,longitude,locality,state,country,count
USC00420074  ,  ALTAMONT  , 40.3561 , -110.2878 ,  Altamont  ,  UT  ,  United States , 1054
USC00420086  ,  ALTON  , 37.4403 , -112.4819 ,  Alton  ,  UT  ,  United States , 1187
USC00420730  ,  BLACK ROCK  , 38.7075 , -112.9539 ,  Milford  ,  UT  ,  United States , 1393
USC00420738  ,  BLANDING  , 37.6131 , -109.4847 ,  Blanding  ,  UT  ,  United States , 1249
USC00420788  ,  BLUFF  , 37.2825 , -109.5575 ,  Bluff  ,  UT  ,  United States , 1269
USC00420849  ,  BOULDER  , 37.905 , -111.42 ,  Boulder  ,  UT  ,  United States , 1207
USC00421008  ,  BRYCE CANYON NP HQRS  , 37.6411 , -112.1689 ,  Bryce  ,  UT  ,  United States , 1143
USC00421214  ,  CASTLE DALE  , 39.2078 , -111.0125 ,  Castle Dale  ,  UT  ,  United States , 1360
USC00421308  ,  CEDAR POINT  , 37.7158 , -109.0828 ,  Dove Creek  ,  UT  ,  United States , 1036
USC00421759  ,  COTTONWOOD WEIR  , 40.6242 , -111.7869 ,  Cottonwood Heights  ,  UT  ,  United States , 1114
USC00422057  ,  DEER CREEK DAM  , 40.4044 , -111.5289 ,  Wallsburg  ,  UT  ,  United States , 1414
USC00422101  ,  DESERET  , 39.2872 , -112.6519 ,  Delta  ,  UT  ,  United States , 1271
USC00422173  ,  DINOSAUR QUARRY AREA  , 40.4378 , -109.3045 ,  Vernal  ,  UT  ,  United States , 1165
USC00422253  ,  DUCHESNE  , 40.1678 , -110.395 ,  Duchesne  ,  UT  ,  United States , 1092
USC00422257  ,  DUGWAY  , 40.1839 , -112.9217 ,    ,  UT  ,  United States , 1331
USC00422385  ,  ECHO DAM  , 40.9656 , -111.435 ,  Coalville  ,  UT  ,  United States , 1368
USC00422578  ,  EPHRAIM  , 39.3583 , -111.5992 ,  Ephraim  ,  UT  ,  United States , 1354
USC00422592  ,  ESCALANTE  , 37.7686 , -111.5978 ,  Escalante  ,  UT  ,  United States , 1367
USC00422696  ,  FAIRFIELD  , 40.2703 , -112.0944 ,  Fairfield  ,  UT  ,  United States , 944
USC00422798  ,  FERRON  , 39.0875 , -111.1325 ,  Ferron  ,  UT  ,  United States , 1175
USC00422828  ,  FILLMORE  , 38.9664 , -112.3278 ,  Fillmore  ,  UT  ,  United States , 1088
