id,name,latitude,longitude,locality,state,country,count
USC00470124  ,  ALMA DAM 4  , 44.3272 , -91.9194 ,  Alma  ,  WI  ,  United States , 1211
USC00470175  ,  AMERY  , 45.3011 , -92.3631 ,  Amery  ,  WI  ,  United States , 1142
USC00470265  ,  APPLETON  , 44.2769 , -88.4378 ,  Appleton  ,  WI  ,  United States , 1219
USC00470516  ,  BARABOO  , 43.4583 , -89.7269 ,  Baraboo  ,  WI  ,  United States , 1167
USC00470696  ,  BELOIT  , 42.5039 , -89.0311 ,  Beloit  ,  WI  ,  United States , 1015
USC00470904  ,  BLOOMER  , 45.0956 , -91.4886 ,  Bloomer  ,  WI  ,  United States , 1249
USC00471078  ,  BRODHEAD  , 42.6181 , -89.3861 ,  Brodhead  ,  WI  ,  United States , 1192
USC00471416  ,  CHARMANY FARM  , 43.0597 , -89.4819 ,  Madison  ,  WI  ,  United States , 1084
USC00471568  ,  CHILTON  , 44.0328 , -88.1469 ,  Chilton  ,  WI  ,  United States , 1194
USC00471676  ,  CLINTONVILLE  , 44.6228 , -88.7483 ,  Clintonville  ,  WI  ,  United States , 1235
USC00471847  ,  COUDERAY 7 W  , 45.8003 , -91.4594 ,  Stone Lake  ,  WI  ,  United States , 1074
USC00471897  ,  CRIVITZ HIGH FALLS  , 45.3575 , -88.1919 ,  Athelstane  ,  WI  ,  United States , 913
USC00471923  ,  CUMBERLAND  , 45.5333 , -92.0222 ,  Cumberland  ,  WI  ,  United States , 1232
USC00472001  ,  DARLINGTON  , 42.6781 , -90.1064 ,  Darlington  ,  WI  ,  United States , 939
USC00472165  ,  DODGE  , 44.1331 , -91.5511 ,  Arcadia  ,  WI  ,  United States , 978
USC00472173  ,  DODGEVILLE  , 42.9608 , -90.1161 ,  Dodgeville  ,  WI  ,  United States , 1132
USC00472556  ,  ELLSWORTH 1 E  , 44.7303 , -92.4586 ,  Ellsworth  ,  WI  ,  United States , 1131
USC00472839  ,  FOND DU LAC  , 43.7953 , -88.4533 ,  Fond du Lac  ,  WI  ,  United States , 1212
USC00472869  ,  FT ATKINSON  , 42.905 , -88.8589 ,  Fort Atkinson  ,  WI  ,  United States , 1274
USC00473038  ,  GENOA DAM 8  , 43.5706 , -91.2294 ,  Genoa  ,  WI  ,  United States , 1229
USC00473058  ,  GERMANTOWN  , 43.2389 , -88.1222 ,  Germantown  ,  WI  ,  United States , 1202
USC00473186  ,  GORDON  , 46.245 , -91.8047 ,  Gordon  ,  WI  ,  United States , 1227
USC00473332  ,  SAXON 1WSW  , 46.4858 , -90.4372 ,  Saxon  ,  WI  ,  United States , 1116
USC00473405  ,  HANCOCK EXP FARM  , 44.1186 , -89.5358 ,  Hancock  ,  WI  ,  United States , 1266
USC00473453  ,  HARTFORD 2 W  , 43.3311 , -88.4114 ,  Hartford  ,  WI  ,  United States , 1213
USC00473698  ,  HOLCOMBE  , 45.2236 , -91.1269 ,  Holcombe  ,  WI  ,  United States , 925
USC00474174  ,  KENOSHA  , 42.5608 , -87.8156 ,  Kenosha  ,  WI  ,  United States , 1232
USC00474195  ,  KEWAUNEE  , 44.4628 , -87.505 ,  Kewaunee  ,  WI  ,  United States , 1075
USC00474482  ,  LAKE MILLS  , 43.0803 , -88.8967 ,  Lake Mills  ,  WI  ,  United States , 1069
USC00474546  ,  LANCASTER 4 WSW  , 42.8278 , -90.7889 ,  Lancaster  ,  WI  ,  United States , 1139
USC00474582  ,  LAONA 6 SW  , 45.5119 , -88.7594 ,  Laona  ,  WI  ,  United States , 1206
USC00474937  ,  LYNXVILLE DAM 9  , 43.2117 , -91.0986 ,  Eastman  ,  WI  ,  United States , 1230
USC00474953  ,  MADELINE ISLAND  , 46.7781 , -90.7653 ,  La Pointe  ,  WI  ,  United States , 1125
USC00475017  ,  MANITOWOC  , 44.0869 , -87.6522 ,  Manitowoc  ,  WI  ,  United States , 1100
