Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,0
1970,0,0,0,0
1971,0,0,0,0
1972,9,6,4,2
1973,1,14,1,0
1974,4,10,9,1
1975,6,10,8,1
1976,3,14,7,1
1977,1,5,13,2
1978,2,11,10,1
1979,1,11,6,0
1980,4,7,28,4
1981,1,5,14,1
1982,2,10,8,1
1983,7,17,16,1
1984,3,8,5,0
1985,4,17,6,3
1986,0,6,10,5
1987,2,4,13,1
1988,0,7,8,0
1989,8,14,15,2
1990,5,8,16,2
1991,5,5,10,0
1992,0,6,8,0
1993,7,12,3,0
1994,0,4,11,0
1995,7,9,16,0
1996,3,10,11,2
1997,8,12,5,3
1998,4,7,12,0
1999,1,4,15,0
2000,3,5,14,2
2001,2,3,10,0
2002,3,6,14,2
2003,1,4,9,4
2004,2,10,11,3
2005,1,5,25,4
2006,2,5,21,4
2007,0,9,23,0
2008,2,7,8,4
2009,3,8,8,1
2010,0,6,13,2
2011,2,9,13,3
2012,0,0,29,10
2013,2,10,10,3
2014,0,0,0,0
