Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,4,11,3,0,"
"
1965,6,13,7,1,"
"
1966,1,9,12,0,"
"
1967,2,9,5,1,"
"
1968,4,12,6,0,"
"
1969,4,10,11,2,"
"
1970,1,7,6,0,"
"
1971,5,8,12,0,"
"
1972,8,11,14,0,"
"
1973,2,8,13,0,"
"
1974,0,6,18,4,"
"
1975,2,12,7,2,"
"
1976,2,7,8,0,"
"
1977,0,8,5,1,"
"
1978,9,3,9,2,"
"
1979,1,9,5,1,"
"
1980,1,2,18,7,"
"
1981,1,3,11,2,"
"
1982,4,10,5,2,"
"
1983,4,14,14,3,"
"
1984,5,14,8,1,"
"
1985,13,17,6,0,"
"
1986,1,8,11,3,"
"
1987,0,7,21,1,"
"
1988,0,4,17,8,"
"
1989,8,7,16,1,"
"
1990,4,4,11,3,"
"
1991,3,7,11,2,"
"
1992,3,10,17,3,"
"
1993,1,11,7,0,"
"
1994,0,0,0,0,"
"
1995,0,0,0,0,"
"
1996,0,0,0,0,"
"
1997,1,4,4,1,"
"
1998,1,10,34,5,"
"
1999,0,1,16,2,"
"
2000,0,6,28,0,"
"
2001,0,2,18,0,"
"
2002,4,14,13,1,"
"
2003,3,6,17,1,"
"
2004,1,7,13,1,"
"
2005,0,9,11,0,"
"
2006,2,3,6,2,"
"
2007,0,2,23,1,"
"
2008,2,7,5,1,"
"
2009,7,8,5,1,"
"
2010,4,10,10,2,"
"
2011,2,4,6,1,"
"
2012,0,5,25,3,"
"
2013,3,9,5,1,"
"
2014,0,0,0,0,"
"
