Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,2,19,13,1,"
"
1965,2,15,7,1,"
"
1966,2,14,9,2,"
"
1967,5,18,4,0,"
"
1968,1,17,10,2,"
"
1969,0,12,14,1,"
"
1970,1,12,7,2,"
"
1971,1,8,10,3,"
"
1972,5,24,4,0,"
"
1973,0,7,11,6,"
"
1974,2,15,3,0,"
"
1975,0,8,15,3,"
"
1976,6,19,12,3,"
"
1977,0,14,13,3,"
"
1978,2,9,10,1,"
"
1979,0,20,0,1,"
"
1980,0,8,6,0,"
"
1981,1,9,10,2,"
"
1982,2,19,6,1,"
"
1983,4,11,8,4,"
"
1984,1,23,8,0,"
"
1985,2,14,7,1,"
"
1986,1,11,12,2,"
"
1987,0,5,17,3,"
"
1988,0,7,17,3,"
"
1989,6,17,8,3,"
"
1990,1,5,9,8,"
"
1991,0,8,17,7,"
"
1992,1,17,7,0,"
"
1993,3,7,5,0,"
"
1994,5,8,16,0,"
"
1995,1,11,11,4,"
"
1996,4,18,5,2,"
"
1997,0,14,6,2,"
"
1998,0,5,20,4,"
"
1999,0,4,9,4,"
"
2000,0,13,19,5,"
"
2001,0,6,20,4,"
"
2002,0,6,11,6,"
"
2003,4,15,13,1,"
"
2004,1,11,8,1,"
"
2005,0,9,13,9,"
"
2006,0,3,12,4,"
"
2007,0,12,12,9,"
"
2008,1,6,6,3,"
"
2009,1,17,3,0,"
"
2010,0,0,14,4,"
"
2011,0,4,13,3,"
"
2012,0,2,16,9,"
"
2013,0,14,7,2,"
"
2014,0,0,0,0,"
"
