mabr,b,name,nb_arr_rate,ap_abbr,mibr,pct_black,p,state,arr_rate_disproportion,b_arr_rate,lat,lng,minbr,manbr
0,44138,Atlantic County Sheriff's Office,3.28,N.J.,1.291404232,0.160765474,274549,NJ,5.52,18.1,39.469354,-74.6337584,0.143222329,0
10.81730769,832,Absecon Police Department,80.09,N.J.,55.28846154,0.098918084,8411,NJ,4.10,328.1,39.4235629,-74.4930249,13.5901834,3.166644676
26.53815685,15148,Atlantic City Police Department,145.06,N.J.,33.00765778,0.382931392,39558,NJ,2.13,308.6,39.377297,-74.4510821,18.18926669,9.913969685
7.884362681,761,Egg Harbor City Police Department,96.78,N.J.,21.02496715,0.179354231,4243,NJ,1.79,173.5,39.5636873,-74.5958654,7.466973004,1.723147616
13.48747592,4152,Egg Harbor Township Police,56.29,N.J.,26.25240849,0.095838238,43323,NJ,4.70,264.5,39.393454,-74.592918,6.178039876,1.838094509
3.043783656,4271,Galloway Township Police Department,23.88,N.J.,18.96511355,0.114353798,37349,NJ,2.70,64.4,39.492797,-74.559507,5.01844126,0.816252494
5.899104962,4916,Hamilton Police Division,94.69,N.J.,17.69731489,0.185488435,26503,NJ,2.61,247.2,39.484865,-74.75862,5.466252837,1.575022004
7.201977857,9303,Pleasantville Police Department,26.40,N.J.,5.804579168,0.459430095,20249,NJ,1.95,51.6,39.3888001,-74.5142625,2.923442353,2.101224191
18.21335646,1153,Somers Point Police Department,134.20,N.J.,34.69210755,0.106808708,10795,NJ,2.68,359.1,39.3160799,-74.6067702,17.52748392,3.007674756
0,52473,Bergen County Sheriff's Office,2.52,N.J.,0,0.057973785,905116,NJ,7.36,18.6,40.9590904,-74.0745218,0.001172824,0
3.398058252,2060,Bergenfield Police Department,12.71,N.J.,3.398058252,0.076969063,26764,NJ,2.64,33.5,40.9223342,-73.9980008,1.740608808,0.850064767
5.188067445,771,Bogota Police Department,35.60,N.J.,12.97016861,0.09417369,8187,NJ,2.77,98.6,40.8742872,-74.0297346,7.011866235,1.078748652
6.443298969,776,Cliffside Park Police Department,42.64,N.J.,9.020618557,0.032889718,23594,NJ,1.78,76.0,40.8220805,-73.9878336,6.091682005,2.278902621
13.73895976,1019,Elmwood Park Police Departement,76.15,N.J.,44.1609421,0.052517652,19403,NJ,6.16,469.1,40.9045259,-74.1195136,10.33507398,1.468668407
5.263157895,570,Edgewater Police Department,54.28,N.J.,28.07017544,0.04950925,11513,NJ,1.81,98.2,40.8237999,-73.9742369,17.81961071,0.548295714
9.383832674,8845,Englewood Police Department,25.35,N.J.,11.98417185,0.325818691,27147,NJ,4.07,103.2,40.8911966,-73.972515,2.950497213,2.240192329
10.58201058,567,Fair Lawn Police Department,29.41,N.J.,38.80070547,0.017469267,32457,NJ,11.27,331.6,40.9358333,-74.1175036,7.463154594,1.191596112
9.249743063,973,Fort Lee Police Department,37.68,N.J.,66.8036999,0.027528646,35345,NJ,8.05,303.2,40.8506403,-73.9710074,8.20435238,0.901896893
10.60070671,1981,Garfield Police Department,52.73,N.J.,44.92680464,0.064978515,30487,NJ,3.51,185.3,40.8797971,-74.1082503,14.06721392,3.016908721
10.37008848,10511,City Of Hackensack Police Department,41.79,N.J.,22.54780706,0.244385027,43010,NJ,3.06,128.0,40.8893976,-74.0456981,5.969414444,2.677005446
7.709251101,1816,Lodi Police Department,42.11,N.J.,6.607929515,0.075240305,24136,NJ,3.27,137.7,40.877915,-74.0825001,2.105734767,1.792114695
1.474926252,678,Mahwah Police Department,57.12,N.J.,82.5958701,0.026187717,25890,NJ,6.71,383.5,41.077102,-74.161472,14.51689672,0.277645566
1.960784314,510,Maywood Police Department,26.64,N.J.,56.8627451,0.053375196,9555,NJ,6.92,184.3,40.9028851,-74.0634573,7.296849088,0.442233278
0,608,New Milford Police Department,20.72,N.J.,4.934210526,0.037207025,16341,NJ,2.30,47.7,40.9341614,-74.0194531,4.195004131,0.508485349
14.72392638,815,Ridgefield Park Police Departement,42.81,N.J.,41.71779141,0.064027025,12729,NJ,2.95,126.4,40.8547046,-74.0199264,10.99546752,2.350176263
5.69259962,527,Rutherford Police Department,16.60,N.J.,3.795066414,0.029178894,18061,NJ,4.46,74.0,40.8203143,-74.1060409,2.167217977,0.627352572
5.084899664,11013,Teaneck Police Department,18.60,N.J.,13.80187052,0.276875503,39776,NJ,3.46,64.3,40.890964,-74.011156,3.720057018,1.251607969
0,504,Westwood Police Department,64.01,N.J.,17.85714286,0.046204621,10908,NJ,2.63,168.7,40.9890321,-74.0318724,17.78162245,1.633986928
0.01905742,52473,Bergen County Police Department,0.46,N.J.,0.41926324,0.057973785,905116,NJ,4.31,2.0,40.9590904,-74.0745218,0.08327049,0.004691295
0,74505,Burlington County Sheriff's Department,4.15,N.J.,0,0.166033775,448734,NJ,5.50,22.8,39.8757858,-74.6630063,0,0
9.090909091,770,Beverly Police Department,61.43,N.J.,41.55844156,0.298797051,2577,NJ,6.32,388.3,40.0648106,-74.9219042,6.640841173,0.553403431
3.289473684,1216,Bordentown Township Police Department,59.60,N.J.,26.31578947,0.106976335,11367,NJ,4.57,272.2,40.147418,-74.698289,6.600334942,0.788099695
13.75305623,3272,City Of Burlington Police Department,122.44,N.J.,57.45721271,0.32983871,9920,NJ,4.11,503.7,40.078366,-74.8525096,18.65222623,3.008423586
4.903511547,6322,Burlington Township Police Department,78.36,N.J.,48.24422651,0.279808799,22594,NJ,4.95,387.7,40.065261,-74.840037,9.894296952,0.491642085
11.69590643,855,Cinnaminson Police Department,40.57,N.J.,10.52631579,0.054916822,15569,NJ,10.69,433.9,39.994899,-74.992064,1.291287209,1.019437271
6.188118812,1616,Delran Township Police Department,56.68,N.J.,13.61386139,0.095643939,16896,NJ,6.37,360.8,40.015879,-74.956436,6.806282723,0.981675393
2.912621359,1030,Eastampton Township Police Department,82.75,N.J.,2.912621359,0.169714945,6069,NJ,2.94,243.7,39.995494,-74.757649,2.778329034,1.587616591
