Year,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
1964-1 ,100,1732,2059,254
1964-2 ,48,989,449,21
1964-3 ,391,2300,938,31
1964-4 ,277,2625,2032,54
1964-5 ,457,2524,4296,700
1964-6 ,230,3380,3013,216
1964-7 ,37,2117,2564,256
1964-8 ,487,6196,2746,817
1964-9 ,42,2538,2547,141
1964-10 ,32,2200,1931,114
1964-11 ,1929,3377,3985,584
1964-12 ,842,1836,2975,603
1965-1 ,317,1559,2793,438
1965-2 ,470,2621,2039,170
1965-3 ,1777,6392,702,96
1965-4 ,135,1947,3193,211
1965-5 ,260,1985,1657,93
1965-6 ,95,2528,481,6
1965-7 ,39,2687,926,44
1965-8 ,671,3558,1930,114
1965-9 ,1201,5296,1661,151
1965-10 ,170,1926,2198,112
1965-11 ,78,734,3033,135
1965-12 ,48,619,3804,426
1966-1 ,1393,2999,1168,208
1966-2 ,205,1927,1257,75
1966-3 ,554,2581,3051,253
1966-4 ,90,1891,1073,38
1966-5 ,802,4817,2169,131
1966-6 ,343,3576,2184,178
1966-7 ,43,1810,4311,452
1966-8 ,326,3534,1243,53
1966-9 ,11,1442,1114,37
1966-10 ,120,1748,1244,42
1966-11 ,94,1278,2473,166
1966-12 ,120,1335,2938,829
1967-1 ,88,678,3558,1130
1967-2 ,489,2195,1297,67
1967-3 ,447,2613,4416,1132
1967-4 ,117,2085,2403,171
1967-5 ,1282,5581,2836,275
1967-6 ,203,2660,1206,73
1967-7 ,619,4851,923,36
1967-8 ,280,4814,1507,82
1967-9 ,727,3198,1379,116
1967-10 ,79,1708,2948,238
1967-11 ,261,1738,1504,98
1967-12 ,296,1849,2404,212
1968-1 ,709,2931,1997,248
1968-2 ,225,1562,2686,180
1968-3 ,190,1920,4018,325
1968-4 ,110,1889,1521,76
1968-5 ,40,2412,771,29
1968-6 ,66,2144,2147,97
1968-7 ,130,3559,1465,96
1968-8 ,371,5734,3384,445
1968-9 ,65,1183,671,12
1968-10 ,89,1482,3313,485
1968-11 ,131,1261,1310,96
1968-12 ,1378,2475,699,101
1969-1 ,845,2079,2862,158
1969-2 ,78,795,379,6
1969-3 ,743,4420,939,41
1969-4 ,78,576,1363,92
1969-5 ,50,1358,2974,521
1969-6 ,509,4379,3700,416
1969-7 ,44,1670,2988,144
1969-8 ,47,2019,3320,201
1969-9 ,2,799,1531,59
1969-10 ,401,4316,2608,235
1969-11 ,398,2208,1498,74
1969-12 ,67,567,1688,109
1970-1 ,1977,4426,2281,300
1970-2 ,316,1243,1327,70
1970-3 ,47,1241,509,46
1970-4 ,180,2829,2879,870
1970-5 ,220,2589,2601,159
1970-6 ,305,2594,3455,774
1970-7 ,202,3059,2061,157
1970-8 ,23,1178,2602,232
1970-9 ,242,4055,3807,366
1970-10 ,219,2716,2577,103
1970-11 ,1367,2330,1053,46
1970-12 ,111,695,3130,590
1971-1 ,1376,2697,3202,455
1971-2 ,1188,3221,2007,120
1971-3 ,734,3164,1678,202
1971-4 ,298,2898,1139,37
1971-5 ,182,2941,528,13
1971-6 ,143,1670,2437,509
1971-7 ,498,4007,1452,110
1971-8 ,99,2127,2089,185
1971-9 ,358,3556,3117,446
1971-10 ,1493,2563,3737,636
1971-11 ,165,1312,2131,552
1971-12 ,61,674,2794,543
1972-1 ,1554,3652,2873,249
1972-2 ,416,2011,2725,359
1972-3 ,543,1530,4046,237
1972-4 ,624,3220,2228,284
1972-5 ,15,1555,2158,179
1972-6 ,277,3955,1269,108
1972-7 ,941,5093,1741,160
1972-8 ,51,2230,2044,195
1972-9 ,353,2533,1561,46
1972-10 ,981,4443,1551,31
1972-11 ,180,2036,789,176
1972-12 ,2325,3894,1870,244
1973-1 ,651,2910,2676,492
1973-2 ,214,1482,544,13
1973-3 ,3,366,1900,146
1973-4 ,580,3299,1301,80
1973-5 ,27,2480,1413,150
1973-6 ,52,1707,2038,229
1973-7 ,25,1851,1489,83
1973-8 ,53,1972,1971,267
1973-9 ,53,1740,2921,481
1973-10 ,14,578,2896,77
1973-11 ,57,934,2890,165
1973-12 ,347,1205,2193,282
1974-1 ,1486,3551,4619,1081
1974-2 ,73,847,915,26
1974-3 ,391,1528,4248,296
1974-4 ,31,1082,2621,258
1974-5 ,81,2328,2486,164
1974-6 ,82,2334,2730,270
1974-7 ,81,1949,2355,150
1974-8 ,107,2730,530,14
1974-9 ,661,3827,1098,49
1974-10 ,355,2492,819,16
1974-11 ,133,1151,2552,422
1974-12 ,106,568,740,39
1975-1 ,217,1015,3102,472
1975-2 ,225,1471,1360,179
1975-3 ,324,2780,876,47
1975-4 ,1865,5470,1295,38
1975-5 ,153,1755,2428,338
1975-6 ,93,1994,974,43
1975-7 ,132,2816,1919,203
1975-8 ,42,2208,1660,160
1975-9 ,122,3628,1309,67
1975-10 ,239,1704,2921,374
1975-11 ,722,3054,6162,829
1975-12 ,372,1100,2810,650
1976-1 ,331,2158,1553,73
1976-2 ,121,878,6333,1074
1976-3 ,868,2380,2740,222
1976-4 ,99,1496,2781,466
1976-5 ,161,3271,564,22
1976-6 ,138,2916,1567,150
1976-7 ,66,2948,1325,124
1976-8 ,180,4131,1332,208
1976-9 ,34,2040,1935,125
1976-10 ,1004,6802,2102,81
1976-11 ,2943,4473,1504,151
1976-12 ,803,2392,882,68
1977-1 ,2281,5233,431,48
1977-2 ,106,1294,3703,252
1977-3 ,29,906,2613,372
1977-4 ,136,1496,4960,566
1977-5 ,89,1734,3383,294
1977-6 ,106,2014,2723,180
1977-7 ,34,1563,3949,517
1977-8 ,63,2340,2787,211
1977-9 ,6,946,2470,165
1977-10 ,41,821,1084,274
1977-11 ,1448,2261,4209,357
1977-12 ,691,2151,3269,297
1978-1 ,207,2101,598,16
1978-2 ,347,3244,553,13
1978-3 ,1573,4077,2956,477
1978-4 ,16,561,1267,26
1978-5 ,428,3958,2214,321
1978-6 ,50,1439,2420,405
1978-7 ,81,2385,2074,168
1978-8 ,95,2517,2082,244
1978-9 ,168,1573,4532,576
1978-10 ,10,1106,1196,47
1978-11 ,642,2995,4187,253
1978-12 ,1145,2006,1274,335
1979-1 ,2195,5120,526,65
1979-2 ,3200,5849,712,47
1979-3 ,71,878,1610,124
1979-4 ,492,2155,1370,59
1979-5 ,248,2968,1439,104
